"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
0.2,1,NA,NA,5,1,NA,1.3,NA,NA,NA,336,28161,1,0,0,0,1,1,1,1,0,NA,NA,6200,0,26732,0,0
3.3,NA,20,1,1.5,0.3,1,1.5,1.2,NA,NA,1298,36900,0,1,1,12,2,1,1,0,1,NA,3000,10000,0,26300,0,0
4.5,1.5,10,3,1,NA,1,1.4,2,NA,NA,1834,68070,1,1,1,10.4,2,0,0,0,0,NA,NA,NA,0,66100,0,1
1.5,NA,20,2,12.5,1.5,NA,1.2,2,NA,NA,924,59000,1,0,1,6,2,1,1,1,1,NA,1200,5800,0,29720,0,0
1.6,NA,NA,2.5,NA,NA,1,3.5,1.5,0.15,NA,1208,25000,0,0,1,6,1,1,1,1,0,NA,NA,7000,0,23000,0,0
1.5,NA,NA,7,NA,NA,NA,8.8,7,NA,NA,2644,105400,0,1,1,25,3,1,1,1,1,5000,NA,11000,500000,105400,0,0
1.6,1,10,2.4,NA,NA,NA,4.2,1,NA,NA,1331,28900,0,0,1,2,1,1,1,1,0,NA,NA,5600,100000,26900,0,1
4,NA,NA,5,NA,1,3,6.4,2,0.25,NA,3528,63000,0,1,1,10,2,1,1,1,1,4000,NA,9000,0,58000,0,0
1.6,NA,NA,2,NA,NA,1,3.2,1,NA,NA,844,40000,0,0,0,0,1,1,1,1,0,NA,NA,4500,0,30000,0,1
5.5,NA,50,3,NA,1.5,NA,8,4,0.34,NA,3953,118500,0,1,1,8,2,1,1,1,1,3000,NA,7800,0,48500,0,0
1.9,1,10,2.5,NA,NA,1,3.2,0.3,0.15,NA,1398,28000,0,0,0,0,1,1,1,1,0,NA,NA,5000,0,27000,0,0
